City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,jiblah,13.9216,44.1467,61.03,57,4,2.06,YE,1667619714
161,hithadhoo,-0.6,73.0833,81.32,74,63,9.78,MV,1667619715
162,hendek,40.7994,30.7481,58.46,50,99,5.53,TR,1667619716
163,wajid,3.8093,43.2471,74.3,83,11,11.68,SO,1667619716
164,norman wells,65.282,-126.8329,6.84,78,75,6.91,CA,1667619717
165,frontera,26.9333,-101.45,71.33,39,0,3.0,MX,1667619717
166,labuhan,-6.8844,112.2051,86.88,65,98,4.7,ID,1667619717
167,dalianwan,39.0286,121.695,59.04,31,0,15.66,CN,1667619718
168,souillac,-20.5167,57.5167,73.78,88,40,3.44,MU,1667619718
169,dobryanka,58.4619,56.4165,25.99,88,74,4.85,RU,1667619719
170,bhag,29.0415,67.8239,85.23,19,54,3.27,PK,1667619719
171,port macquarie,-31.4333,152.9167,71.89,50,63,8.3,AU,1667619719
172,katsuura,35.1333,140.3,60.75,69,97,14.2,JP,1667619720
173,muhos,64.808,25.9931,40.78,97,100,6.87,FI,1667619721
174,tura,25.5198,90.2201,78.26,64,0,1.48,IN,1667619722
175,tigzirt,36.8886,4.1198,62.31,67,9,13.87,DZ,1667619722
176,hobbs,32.7026,-103.136,48.67,38,0,9.22,US,1667619723
177,santa rosa,14.3122,121.1114,90.09,64,68,10.69,PH,1667619437
178,weihe,32.9952,105.3247,52.32,89,100,6.17,CN,1667619723
179,hambantota,6.1241,81.1185,80.94,94,40,1.14,LK,1667619724
180,baruun-urt,46.6806,113.2792,36.28,29,39,10.78,MN,1667619724
181,pacific grove,36.6177,-121.9166,55.08,87,40,1.01,US,1667619664
182,castelo branco,39.8222,-7.4909,44.51,66,24,3.4,PT,1667619725
183,marshalltown,42.0494,-92.908,42.91,87,100,12.66,US,1667619725
184,cidreira,-30.1811,-50.2056,61.39,75,10,7.65,BR,1667619725
185,sioux lookout,50.1001,-91.917,21.27,100,0,0.0,CA,1667619726
186,viedma,-40.8135,-62.9967,65.41,52,100,16.6,AR,1667619726
187,port hardy,50.6996,-127.4199,42.98,81,40,14.97,CA,1667619727
188,tasiilaq,65.6145,-37.6368,35.76,86,100,17.38,GL,1667619727
189,ribeira grande,38.5167,-28.7,63.77,86,100,5.99,PT,1667619727
190,xunchang,28.4543,104.715,64.54,73,100,2.46,CN,1667619728
191,baghmara,23.795,86.2085,78.75,43,0,1.48,IN,1667619728
192,avarua,-21.2078,-159.775,75.25,69,40,10.36,CK,1667619728
193,kruisfontein,-34.0033,24.7314,62.89,92,75,4.0,ZA,1667619729
194,jos,9.9167,8.9,60.76,40,54,4.7,NG,1667619729
195,mbini,1.574,9.6134,77.88,85,100,3.02,GQ,1667619729
196,manokwari,-0.8667,134.0833,82.65,75,86,3.67,ID,1667619730
197,coihaique,-45.5752,-72.0662,50.61,74,6,3.83,CL,1667619730
198,san quintin,30.4833,-115.95,61.86,59,23,8.86,MX,1667619730
199,rawson,-43.3002,-65.1023,72.75,30,100,29.97,AR,1667619731
200,kisangani,0.5167,25.2,67.77,98,100,2.13,CD,1667619731
201,chokurdakh,70.6333,147.9167,-12.12,92,94,4.81,RU,1667619732
202,amazar,53.858,120.875,25.61,51,49,3.83,RU,1667619732
203,vardo,70.3705,31.1107,35.58,87,75,5.75,NO,1667619732
204,namibe,-15.1961,12.1522,65.93,74,68,6.53,AO,1667619733
205,pisco,-13.7,-76.2167,60.85,88,0,10.36,PE,1667619733
206,dawei,14.0833,98.2,86.38,45,55,10.25,MM,1667619734
207,zaysan,47.4667,84.8667,48.97,34,35,1.63,KZ,1667619712
208,vila velha,-20.3297,-40.2925,67.95,80,0,9.22,BR,1667619734
209,nome,64.5011,-165.4064,17.67,79,0,6.91,US,1667619362
210,kiunga,-6.1219,141.2906,95.14,41,86,3.58,PG,1667619735
211,fukue,32.6881,128.8419,62.96,42,20,16.11,JP,1667619735
212,george,-33.963,22.4617,62.15,100,100,2.3,ZA,1667619736
213,berlevag,70.8578,29.0864,35.4,93,100,3.44,NO,1667619736
214,biak,-0.9131,122.8766,84.27,67,68,3.76,ID,1667619736
215,paka,4.6374,103.4368,82.38,89,40,1.14,MY,1667619737
216,bonnyville,54.2668,-110.735,24.6,88,100,4.5,CA,1667619737
217,carahue,-38.7,-73.1667,48.9,99,100,0.83,CL,1667619737
218,fethiye,36.6217,29.1164,51.67,56,0,3.33,TR,1667619738
219,saskylakh,71.9167,114.0833,-1.19,98,99,6.33,RU,1667619738
220,vesoul,47.5833,5.8333,47.21,97,89,4.68,FR,1667619739
221,yulara,-25.2406,130.9889,86.49,13,0,4.61,AU,1667619739
222,saldanha,-33.0117,17.9442,60.85,96,11,2.57,ZA,1667619740
223,bela,25.9333,81.9833,78.31,49,0,5.68,IN,1667619740
224,tuy hoa,13.0833,109.3,79.81,74,70,12.19,VN,1667619579
225,palakollu,16.5333,81.7333,80.98,77,43,6.69,IN,1667619740
226,plouzane,48.3833,-4.6167,53.65,90,100,11.5,FR,1667619741
227,vila franca do campo,37.7167,-25.4333,69.19,95,92,3.98,PT,1667619741
228,alepe,5.5004,-3.6631,76.87,96,45,0.56,CI,1667619742
229,inhambane,-23.865,35.3833,76.71,73,92,11.54,MZ,1667619742
230,jacareacanga,-6.2222,-57.7528,77.09,70,100,1.45,BR,1667619743
231,pandan,14.0453,124.1694,82.18,85,100,8.95,PH,1667619743
232,pimentel,-6.8367,-79.9342,62.42,84,46,11.95,PE,1667619744
233,chino valley,34.7575,-112.4538,42.62,58,0,5.75,US,1667619312
234,hovd,48.0056,91.6419,33.93,45,7,1.92,MN,1667619744
235,kaseda,31.4167,130.3167,65.43,49,15,15.1,JP,1667619745
236,peniche,39.3558,-9.3811,53.46,76,7,7.7,PT,1667619746
237,visby,57.6409,18.296,49.05,81,100,14.97,SE,1667619516
238,visnes,59.3556,5.2242,48.25,81,75,11.5,NO,1667619746
239,kangaatsiaq,68.3065,-53.4641,23.65,73,96,8.03,GL,1667619747
240,okhotsk,59.3833,143.3,25.79,50,87,20.83,RU,1667619747
241,lazaro cardenas,17.9583,-102.2,77.25,84,0,2.8,MX,1667619730
242,seoul,37.5683,126.9778,53.17,25,0,6.91,KR,1667619473
243,quipama,5.5194,-74.1777,61.07,98,100,2.08,CO,1667619748
244,maputo,-25.9653,32.5892,71.28,94,75,2.3,MZ,1667619748
245,avanigadda,16.0215,80.9181,81.3,76,6,7.27,IN,1667619560
246,fortuna,40.5982,-124.1573,56.35,93,100,5.75,US,1667619749
247,yar-sale,66.8333,70.8333,10.99,93,29,9.06,RU,1667619749
248,meulaboh,4.1363,96.1285,78.58,80,100,2.86,ID,1667619749
249,bambous virieux,-20.3428,57.7575,74.21,88,40,3.44,MU,1667619750
250,byron bay,-28.65,153.6167,66.51,75,68,9.89,AU,1667619750
251,roebourne,-20.7833,117.1333,90.95,30,6,14.58,AU,1667619750
252,bartica,6.4,-58.6167,75.52,99,100,2.33,GY,1667619751
253,dawlatabad,36.4141,64.9053,57.87,73,9,4.43,AF,1667619751
254,hashtrud,37.4779,47.0508,41.34,58,18,3.36,IR,1667619751
255,moss vale,-34.55,150.3833,65.01,63,90,6.29,AU,1667619752
256,waiouru,-39.4833,175.6667,59.74,45,13,5.46,NZ,1667619752
257,umm kaddadah,13.6017,26.6876,70.07,25,27,13.67,SD,1667619752
258,hami,42.8,93.45,52.2,21,98,3.33,CN,1667619753
259,lagoa,39.05,-27.9833,63.61,78,100,8.99,PT,1667619614
260,magistralnyy,56.1725,107.4458,31.28,74,98,2.15,RU,1667619753
261,misratah,32.3754,15.0925,69.13,36,28,16.08,LY,1667619754
262,khudumelapye,-23.8833,24.75,64.8,79,0,4.34,BW,1667619754
263,khilchipur,24.0333,76.5667,81.57,34,2,4.79,IN,1667619754
264,banda aceh,5.5577,95.3222,80.76,76,100,0.87,ID,1667619755
265,te anau,-45.4167,167.7167,58.19,44,10,3.89,NZ,1667619755
266,oak harbor,48.2932,-122.6432,57.78,91,100,10.36,US,1667619460
267,holme,56.1138,10.1725,45.97,91,47,12.12,DK,1667619755
268,denpasar,-8.65,115.2167,87.46,74,40,5.75,ID,1667619711
269,tabuk,17.4189,121.4443,84.63,65,59,2.3,PH,1667619756
270,yumen,40.2833,97.2,45.95,26,98,5.06,CN,1667619756
271,qaqortoq,60.7167,-46.0333,26.56,77,72,5.3,GL,1667619758
